year,fmr_1br
1983,357.0
1985,372.0
1986,400.0
1987,428.0
1988,455.0
1989,481.0
1990,504.0
1991,531.0
1992,560.0
1993,579.0
1994,721.0
1995,702.0
1996,719.0
1997,738.0
1998,759.0
1999,785.0
2000,810.0
2001,836.0
2002,874.0
2003,907.0
2004,944.0
2005,966.0
2006,1003.0
2007,1069.0
2008,1185.0
2009,1180.0
2010,1222.0
2011,1261.0
2012,1280.0
2013,1243.0
2014,1215.0
2015,1249.0
2016,1357.0
2017,1419.0
2018,1558.0
2019,1599.0
2020,1714.0
2021,1801.0
2022,2054.0
2023,2170.0
2024,2451.0
2025,2511.0
2026,2655.0
